"","player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","espn_link","espn_number","espn_id","first_season","last_season"
"1099","Adonis Thomas","Adonis","Thomas","adonis","thomas",NA,"2595274/adonis-thomas",2595274,"adonis-thomas",2014,2014
"1100","Alex Len","Alex","Len","alex","len",NA,"2596107/alex-len",2596107,"alex-len",2014,2019
"1101","Allen Crabbe","Allen","Crabbe","allen","crabbe",NA,"2531210/allen-crabbe",2531210,"allen-crabbe",2014,2019
"1102","Andre Roberson","Andre","Roberson","andre","roberson",NA,"2530596/andre-roberson",2530596,"andre-roberson",2014,2018
"1103","Dionte Christmas","Dionte","Christmas","dionte","christmas",NA,"4025/dionte-christmas",4025,"dionte-christmas",2014,2014
"1104","DJ Stephens","DJ","Stephens","dj","stephens",NA,"2489563/dj-stephens",2489563,"dj-stephens",2014,2019
"1105","Gal Mekel","Gal","Mekel","gal","mekel",NA,"4218/gal-mekel",4218,"gal-mekel",2014,2015
"1106","Jamaal Franklin","Jamaal","Franklin","jamaal","franklin",NA,"2528356/jamaal-franklin",2528356,"jamaal-franklin",2014,2015
"1107","Lorenzo Brown","Lorenzo","Brown","lorenzo","brown",NA,"2528787/lorenzo-brown",2528787,"lorenzo-brown",2014,2019
"1108","Luigi Datome","Luigi","Datome","luigi","datome",NA,"2585629/luigi-datome",2585629,"luigi-datome",2014,2015
"1109","Otto Porter Jr.","Otto","Porter Jr.","otto","porter","jr","2594922/otto-porter-jr.",2594922,"otto-porter-jr.",2014,2019
"1110","Peyton Siva","Peyton","Siva","peyton","siva",NA,"2488706/peyton-siva",2488706,"peyton-siva",2014,2014
"1111","Reggie Bullock","Reggie","Bullock","reggie","bullock",NA,"2528779/reggie-bullock",2528779,"reggie-bullock",2014,2019
"1112","Ricky Ledo","Ricky","Ledo","ricky","ledo",NA,"2991143/ricky-ledo",2991143,"ricky-ledo",2014,2015
"1113","Robert Covington","Robert","Covington","robert","covington",NA,"2490620/robert-covington",2490620,"robert-covington",2014,2019
"1114","Rudy Gobert","Rudy","Gobert","rudy","gobert",NA,"3032976/rudy-gobert",3032976,"rudy-gobert",2014,2019
"1115","Sergey Karasev","Sergey","Karasev","sergey","karasev",NA,"2959745/sergey-karasev",2959745,"sergey-karasev",2014,2016
"1116","Solomon Hill","Solomon","Hill","solomon","hill",NA,"2488958/solomon-hill",2488958,"solomon-hill",2014,2019
"1117","Tony Mitchell","Tony","Mitchell","tony","mitchell",NA,"2489010/tony-mitchell",2489010,"tony-mitchell",2014,2014
"1118","Tony Mitchell","Tony","Mitchell","tony","mitchell",NA,"2583664/tony-mitchell",2583664,"tony-mitchell",2014,2014
"1119","Arinze Onuaku","Arinze","Onuaku","arinze","onuaku",NA,"2202117/arinze-onuaku",2202117,"arinze-onuaku",2014,2017
"1120","Chris Babb","Chris","Babb","chris","babb",NA,"2326389/chris-babb",2326389,"chris-babb",2014,2014
"1121","Erik Jay Murphy","Erik","Jay Murphy","erik","jay murphy",NA,"2489021/erik-jay-murphy",2489021,"erik-jay-murphy",2014,2014
"1122","Nemanja Nedovic","Nemanja","Nedovic","nemanja","nedovic",NA,"2959736/nemanja-nedovic",2959736,"nemanja-nedovic",2014,2014
"1123","Ognjen Kuzmic","Ognjen","Kuzmic","ognjen","kuzmic",NA,"6602/ognjen-kuzmic",6602,"ognjen-kuzmic",2014,2015
"1124","Royce White","Royce","White","royce","white",NA,"6629/royce-white",6629,"royce-white",2014,2014
"1125","Scotty Hopson","Scotty","Hopson","scotty","hopson",NA,"2328418/scotty-hopson",2328418,"scotty-hopson",2014,2018
"1126","Seth Curry","Seth","Curry","seth","curry",NA,"2326307/seth-curry",2326307,"seth-curry",2014,2019
"1127","Shane Edwards","Shane","Edwards","shane","edwards",NA,"4311/shane-edwards",4311,"shane-edwards",2014,2014
"1128","Vander Blue","Vander","Blue","vander","blue",NA,"2531039/vander-blue",2531039,"vander-blue",2014,2018
